,name,text,sent
49,Toyota Corona Premio седан (2001),"Была у меня такая машинка (один и восемь объем двигателя, на автоматической коробке передач) три года. Требовала минимум вложений. Ездил и в лесах, и в полях, и по сугробам, и нигде не застревал. Салон просторный для этого класса автомобилей. Немаленький багажник. В целом машиной очень доволен, плохо что их выпуск был прекращен. ",positive
50,ВАЗ 1117 Лада Калина универсал,Не могу хвалить эту машину. Если честно машина не приспособлена для города. Хотя по цене да она можно сказать дешевая. И быстро изнашивается и сыпется. Общее впечатление : машина гавно,negative
51,Toyota Town Ace микроавтобус,"Данным автомобилем владею уже более 5 лет и о нем могу сказать только положительные отзывы. Автобус дизельный объем 2000л коробка механическая привод отключаемый полный. Летом когда не нужен полный привод стоят механические хабы, которые отключают полуося и мост полностью разгружен. Раздаточная коробка имеет пониженную передачу, что облегчает движение по ""трудному"" бездорожью. Расход топлива тоже приятно удивляет 6-7 литров на 100 километров. В салоне имеется кондиционер, электростеклоподьемники. Салон большой, просторный, сиденья все раскладываются в просторную кровать можно спать 3 человека. За время эксплуатации менял только расходники Общее впечатление : Отличный автомобиль для охоты и рыбалки",positive
52,Mercedes,"Прекрасные ходовые качества брутальный вид. Все это Мерседес G55 AMG. Полный привод высокий клиренс он заряжен по полной 8 цилиндровый движок полный привод превращают этот с виду не приглядный авто в зверя у которого под колесами горит асфальт. От нуля до сотни за 5 и 5. Он тяжелый но проворный хорошо себя показывает как на бездорожье так и в городе. Плюс он вместительный объем багажника 2250 литра пользуется большим спросом у людей старшего поколения которые ценят комфорт плавных ход безопасность надежность. Что нельзя сказать о расходе топлива 22,6 в городе и 19,9 на трассе при этом объем бензобака Мерседеса G55 AMG всего 96 литров. В целом автомобиль зарекомендовал себя с положительной стороны его выбирают те кто привык получать максимальный коэффициент цена качество. Общее впечатление : Безопасность Надежность",positive
53,Pontiac Vibe универсал,"В этом авто есть как и во всех свои плюсы и свои минусы. Pontiac Vibe не для тех кто ищет комфорт, и плавность в движении скорее наоборот!!!! Жесткое зубило! Типичное отечественное зубило и до комфорта и простора Американского автомобиля ему как ""девяносто девятой"" до Женевы! Движок резвый но если мы уже сравниваем его с ""жестким"" болидом формулы он не дотягивает и реально возможно конечно из за коробки! коробка автомат не для нее больше подошла бы ручка, но на ручке я их не видел! Что мне понравилось и я реально в восторге это салон который раскладывается в один единый ровный пол за исключением водительского сидения! Легко влезает двухспальный надувной матрац! Вообщем это резвый деревянный японский авто для девочек! От Америки там только забитый движок минеральным маслом при покупке Pontiac Vibe обратите внимание на систему смазки двигателя, на фарш в движке! мы все прекрасно знаем как в штатах меняют масло! Спасибо за внимание! Общее впечатление : Среднечок. Ожидал большего!",neutral
54,ВАЗ 2103 седан,"Приобрели данное авто полгода назад. 1974 года, но авто в прекрасном состоянии. Сразу видно, что качество сборки идеальное. Машина на века. Скорость не его стихия. Не совсем хорошая поворотливость. На трассе особо не покатаешься, трудно обгонять. Расход топлива довольно умеренный. Каков хозяин, такое и авто. Хоть автомобилю и 40 лет, но работает неплохо. В зимнее время лучше использовать предпусковой двигатель, иначе не поедет. Пяти посадочных мест вполне хватает. Общее впечатление : Живучая лошадка",neutral
55,ВАЗ 2103 седан,"Здравствуйте, хочу рассказать вам о советском авто ВАЗ 2103. Я владелец этой машинки и сейчас я вам о ней расскажу. На фото моя троечка! Купил я её в 2013 году за 7 тысяч рублей Машина досталась мне в убитом состоянии, но мне хотелось её восстановить и я это сделал, правда вложил ещё тридцать тысяч и сейчас вполне нормально езжу. Машина 1976 года выпуска, по этой причине пришлось заменить большинство деталей и по этой же причине пришлось вложится. И так начну с плюсов! Плюсы авто, это простота и дешёвое обслуживание, прочное железо которое на мой взгляд толше чем у шестёрки, небольшие габариты, зимой в -30 не замёрзните! Минусы авто, самый главный минус это год выпуска, задний привод, четырёх - ступенчатая коробка передач! Нормальное авто эконом класса, особенно радует дешевизна запчастей и простота в ремонте - вы вполне можете сами кое что ремонтировать или заменить. И ещё, скажу вам так - у меня два раза одно и то же не ломалось ни разу, если что и ломалось дак это то что было 1976 года выпуска. Да, ещё добавлю, я кое что поменял в салоне, поставил руль от Субары и подсветку на панель прилепил - на фото видно. Салон по любому нужно было до работать, так как на дворе 2014 год и мне к примеру было неудобно ездить с тонкой и огромной баранкой. Движок к стати не выжил, я его заменил и поставил от Нивы 1,6 объёмом. Я думаю был бы год по новее, машинка была бы шикарная. И так друзья, подводя итог скажу вам так машинка вполне не плохая для своих лет, годы её главный враг и водитель - рак! Если вы собираетесь прикупить данный агрегат, то будьте готовы к множественным ремонтам - купив это авто, прежде чем поездить его придётся восстановить по причине износа запчастей, годы берут своё! ",neutral
56,Hyundai Getz хэтчбек,"Первым автомобилем, за рулем которого мне довелось побывать, был именно Hyundai Getz 2007 г. в. Превосходная женская машина с достаточно большим и вместительным багажником, не смотря на ее маленькие внешние данные. Салон просторный и не вычурный. Все находится на своих местах и не мешает комфортному вождению в данном автомобиле. Коробка автомат, но она не доставляла мне никаких неудобств, потому что все переключалось быстро и энергично. По бензину тоже нет претензий (7-8 литров по городу, 5-6 по трассе). Патронников на данной модели не было, но парковаться было просто, потому что габариты машинки маленькие. Жаль, что пришлось продать ((( ",positive
57,Lifan Solano седан,"Покупали данное авто жене, выбор делали между отечественными авто и китайскими из-за цены. Машинка неплохая, но минусов тоже много. Начну с плюсов:конечно же цена, относительно хорошее качество материалов, к двигателю претензий нет, много места, очень долго не появлялись скрипы. Теперь о минусах:через 3 месяца появились рыжики на арках(хотя у нас не стояли подкрылки), периодически отваливались противотуманки, менял стойки стабилизатора. Распрощались с этим авто в результате аварии, удар был боковой со скоростью 60 км, после этого я бы не купил ещё раз Solano. Мягко говоря увело всё. что можно! Выбор крнечно за вами, но китай есть китай! Общее впечатление : Неплохое авто!",positive
58,ВАЗ 2110,"В общех чертах машинка нормальная, никогда не подводила. Бензина хавает мало, движок оборотистый и с виду даже очень нечего, если зажать немножко ну и затонировать. Обслуживание тоже дешевое. По салону есть свои недостатки, потому что почти всё из пластика, всё дребезжит если есть неровности на дороге. Проходимость и высота просвета хорошая, для деревни машинка просто отпад. У меня такая дома у родителей в гараже стоит 98г. просто канфетка. Хорошая управляемость в любой ситуации. Ездил тут недавно на диагностику, сказали движок как новенький. Переделана на газ/бензин, проблем не было. Даже при 140 км/ч если нажать на газ посильнее она набирает обороты нехуже любой иномарки, ей бы лошадок побольше. Достаточно вместительный багажник. Общее впечатление : экономичная",neutral
59,Toyota RAV4 IV кроссовер,"Являясь владельцем РАВ4 предыдущего поколения не мог обойти стороной новое поколение. Как только автомобиль появился в салоне сразу же приехал его посмотреть. Первое, что бросилось в глаза совершенно новый облик не похожий ни на одно предыдущее поколение автомобиля. Интерьер также полностью изменился и преобразился. Салон стал значительно просторнее сзади, а вот багажник очень сильно огорчил. Невнятный ""пьедестал"", который там сделали из крышки фальш-пола просто убивает своим внешним видом и ""съедает"" часть пространства внутри. Решил пройти тест-драйв. И тут машина мало чем удивила. Во многом похожа на предыдущее поколение. Та же знакомая подвеска, тот же двигатель. Возможно немного улучшилась управляемость за счёт увеличения колёсной базы, но это больше номинально, нежели фактически. Как итог получает всё тот же ""рафик"" в новой упаковке. Общее впечатление : Новый стиль - надёжная марка.",neutral
60,Hyundai Veloster хэтчбек,"Друг приобрел данный автомобиль и решили его потестировать. Автомобиль хорошо, даже очень устойчиво ведет себя на дороге. Очень красивый, как с нутри, так и с наружы. Но дороговат в обслуживании. А так, кто любит погонять, советую. ",negative
61,KIA Ceed универсал,"Так получилось что первой иномаркой в нашей семье стал именно этот автомобиль. Машина покупалась в достаточно хорошей комплектации. Итак начну свой отзыв про этот автомобиль. По началу после 10 модели жигули казалось что это супер авто без минусов. Все есть, попу подогревает, на горках не скатывается (противооткатная система на подъемах), так же двух зонный климат, относительно для габаритов и массы автомобиля небольшой расход топлива. Скажу сразу автомобиль очень хорошо собран и вообще все очень хорошо работает и без сбоев. Двери закрываются с приятным мягким звуком, багажник большой для своего класса, кнопочки на панели очень хорошо и удобно расположены, да и приятной мелочью является холодильник в бардачке. Но теперь немного о минусах, их немного, но они значительные иногда раздражающие, начну с плохого сервиса, он дорогой примерно такой же как на пежо, делают много того чего не нужно, иногда допускают большие косяки например один раз выпустили со стертой колодкой! Далее хочется сказать про двигатель, он хорош, но иногда раздражает что он тупит и при нажатии педали в пол может вообще не произойти никакой реакции, я понимаю что это сделано для экономии топлива, но например на серпантине или при обгонах такая штука может раздражать тех кто хочет какой то динамики от автомобиля! Так же вещь, которая может раздражать это просто зубодробительно жесткая подвеска, я знаю что на обычном Ceed она не такая, но тут явно перебор c жесткостью, но это тоже можно объяснить тем что на универсалах ставят подвеску для повыщения управляемости, но зато она очень долговечная, что может сократить расходы на обслуживании. Так же подвела шумка, которой тоже нет, а в паре с такой подвеской получается целый оркестр в слоне при некачественном покрытии. И последний недостаток в нашей машине был таким, правда я не знаю у всех ли так, но у нас было - это какой то стук в задней правой панеле и с этим вообще ничего сделать нельзя, на сервисе развели руки сказав что такова конструкция автомобиля и ничего сделать с этим не могут! В общем подведу итог, автомобиль очень хороший для своей цены ""рабочая лошадка"", но есть моменты, которые могут кому то очень сильно не нравится, но если ваша семья может смириться с этими недостатками то он идеален. Он может экономить деньги на топливе и на обслуживании (если найти хороший не официальный сервис), а главное для семьи это экономия бюджета, а он с этим блестяще справляется по-этому он может претендовать на звания семейного автомобиля! Общее впечатление : Kia Ceed универсал, подходит ли он для семьи?",neutral
62,Chery Fora A5 седан,"Автомобиль в первые три года зарекомендовал себя с хорошей стороны. Менял только расходники. По салону очень приятная кожа и пластик. За такую цену (около 500 тыс. руб. на тот момент была) -полный ""фарш""-авто. После трех лет начались проблемы. Пробег был около 80 тыс. км. Потребовалась замена ступечных подшипников, правого шруза и далее подвеска ""понеслась"". Большой недостаток в том, что шаровая отдельно не продается. Только рычаг полностью. Проблемы с салоном, кожа чернеть начала, мультимедиа на руле отказала. В принципе машина свои деньги отработала полностью. Мой совет: ездить на таких машинах первые три года, потом на продажу. Made is China от слова ""чинить"". Судите сами! Общее впечатление : На тройку с плюсом",positive
63,ВАЗ 2106 седан,"Думаю, что данный автомобиль (его еще называют шаха) был первым для многих юных автомобилистов. Большинство владельцев ценят её за простоту, за то, что идет ""мягко"" и конечно же за дешевые запчасти. Очень обычна в ремонте. Неприхотлива и редко дает о себе знать в случае поломки. На вид красива, выглядит полноценно, но самое главное по моему мнению, это редкая. Да да, редкая, ведь их уже давно перестали выпускать, а это значит, что скоро их не останется совсем. Как животных занесенных в Красную книгу. К ней просыпается интерес в основном в юношеские годы. И все же эту машину, после того, как сядешь за руль, забыть будет уже невозможно. Рекомендую! Общее впечатление : Классика вовеки веков!",positive
64,Chery Fora A5 седан,"Мне машина не понравилась совсем! Хоть у неё и не малый дорожный просвет, да и расход бензина средний, но что внешний вид, что качество сборки, что качество деталей однозначно оставляют желать лучшего. Внешний вид как салона так и снаружи, на мой взгляд какой-то убогий. Машинка ломается очень часто, при этом некоторые запчасти для неё найти весьма проблематично, а порой и вовсе невозможно. Железо очень плохое, стоит начертить небольшую царапину и уже буквально через несколько дней она начнёт ржаветь, и на мой взгляд если вовремя не устранить это проблему она будет гнить у вас на глазах и рассыпется на ходу. За те же деньги можно купить автомобиль гораздо лучшего качества, так что не останавливайте свой взор на данном аппарате, лучше неделю пешком походить, чем купить данную модель и жалеть об этом. Общее впечатление : Не советую",negative
65,Audi 80 B3 седан,"Машина зарекомендовала себя с хорошей стороны, но есть, как плюсы, так и минусы. Мотор неубиваемый, но любит кушать бензин с хорошим аппетитом. Зимой расход по городу у меня получался 15 литров на моторе 1,8 кватро. Салон нешумный, тихий, но тесноватый, хотелось бы попросторней. Сзади на троих критически места не хватает. И багажник тоже очень маленький, такого маленького не видел больше ни в одном ""седане"". Подвеска надежная, неубиваемая. Электрика работала отлично. Не могу сказать про немецкое качество оцинкованного кузова. На твердую ""пятерку"" Пластмасса также качественная не гремит. Машине 24 года- ни одного ржавого места. Общее впечатление : Немецкая надежность",neutral
66,Ваз 2112 хэтчбек,"Автомобиль зарекомендовал себя с не очень хорошей стороны. Запчасти недорогие. Уже есть такая роскошь, как стеклоподъемники и обогрев сиденья=) Кузов, как картон, гниет на глазах. Если прозеваешь замену ГРМ, готовь карман к растратам. По подвеске: летели постоянно шаровые и гранаты. Мотор оставил впечатления хорошие в принципе. Расход по городу оставил 10-11, по трассе- 7-8 литров. В машину б/у нужно вложить немало, чтобы выглядела достойно и устраивала Вас по комфорту. Советую лучше взять старенькую немецкую иномарочку, чем этот ""тазик"". Машина не устойчиво себя держит на высокой скорости, будьте осторожны! Общее впечатление : ""Жиганка""!",positive
67,Skoda Octavia седан,"Автомобиль запечатлился в моей памяти, как хороший, надежный автомобиль. Необычная панель с подсветкой зеленого цвета совсем не напрягает зрение. По-особенного оформленный салон произвел на меня приятное впечатление. Сделано все для людей, качество на лицо. Просторный, вместительный багажник. Сзади и троим сидеть не тесно. Мотор хорош! Подвеска тоже сделана по уму, запчасти не такие уж и дорогие, а самое главное доступные не надо ждать по две недели. По кузову нареканий нет, если говорить о гнили и ржавчине. На ""дальняк"" вообще замечательно. На высокой скорости чувствует себя уверенно. По электрике нареканий нет никаких. Общее впечатление : Отличный автомобиль!",positive
68,Honda Civic седан,"Выбирали между маздой 3, форд фокусом и хондой цивик. Хонда больше привлекла как по дизайну и как по безопасности(по сравнению с маздой и фордом). Во-первых салон, в нем как в космическом корабле, электронное табло спидометра, да и сама приборная панель сделана необычно, по-современному. В обсуживании хонда впринципе по карману(ТО, замена расходников). Дорогу держит стабильно, в стороны не бросает. Расход по трассе примерно 8,5л/100, а в городе 10-11л/100. В салоне довольно комфортно, сзади поместятся 3 человека, так же можно откинуть задние сидения, тем самым расширить багажник. Ещё одной маааленькой, но все же приятностью является отсутствие в ногах задних пассажиров ""этакой перегородки"", которая присутствует во многих автомобилях. Недавно поменял решётку радиатора, смотрится агресивнее ",positive
69,Honda Civic седан,"Легкая, быстрая, что еще нужно. У меня на автомате машина, двигатель 1,8. С места просто рвет. тормоза-супер. Комплектация отличная. Все для водителя сделано удобно и комфортно. CD на 6 дисков. Японцы вообще молодца. Эта машина напоминает современный мобильник с электронными наворотами. 3 года в использовании, проблем еще не было. Общее впечатление : супер машина",positive
70,Volkswagen Polo седан,"Всем доброго времени суток! Проездил на этом авто чуть более года. Впечатление от автомобиля хорошее. Автомобиль продуман. Экстерьер в немецком стиле отработан, интерьер строгий, лишнего ничего нет. Багажник вместительный. Вождение не приносит дискомфорта. Дорогу держит ровно, отличная управляемость и обзор хороший. Поскольку авто бюджетный, в нем всего 2 подушки безопасности, но все же по оценкам экспертов - VW polo ""удар держит"". Недостаток, в качестве сборки, некоторых элементов отечественными сборщиками иногда проявляются. Так же, считаю неприемлемую цену за максимальную комплектацию, за такие деньги можно взять авто другого класса. В целом машина за год своей работы не подводила, чего и другим одноПОЛчанам желаю! ",positive
71,Renault Symbol Седан,"В первый раз Renault Symbol увидел у своего друга, который на этой машине уже прилично откатал. Сам тоже пробовал поездить на ней, достаточно неплохо. Внешний вид у машины, конечно на любителя, но в машине не это главное. Автомобиль достаточно экономичный, запчасти к нему легко найти. По стоимости тоже неплох. Проблем почти никаких с ней не возникало, заводится с первого раза и зимой и летом. Сравнивать с отечественным автопромом даже нет смысла, машина в сто раз лучше любой из наших. Недостатки у машины тоже есть - это низкая посадка для водителя; слабая динамика, ожидал чего-то большего. И, пожалуй, ничего большего я не заметил, хотя прокатился на ней всего пару раз. А так ездить в ней комфортно. Салон прекрасно сделан и очень вместительный, как и багажник. Машина, на мой взгляд, отлично подходит для всей семьи, для дальних поездок, да и в городе не пропадет. Общее впечатление : Отличный автомобиль, с необычным дизайном",neutral
72,Ваз 2112 хэтчбек,"Автомобиль, сразу скажу, не самый лучший. Но у движка мощность хорошая, идет внатяг хорошо, на 3000 оборотах показывает уверенность в движении. Но со старта плох. Бывают проблемы с термостатом, возникают сверчки в салоне, плохая шумоизоляция, неустойчивая электроника, нет кондиционера. Нравится стиль, мягкая посадка, которая поганится плохой подвеской машины. С бензином ведет себя непрожорливо, установка фильтра бензиноочистки и тонкой доводки топливной системы на СТО поможет вам сохранить лишних 5 - 7 литров бензина. Рекомендую поменять шины и диски, особенно актуально для гонщиков. Машина прыткая, на большой скорости бывает не совладаешь, поэтому важен ГУР. Советую взять. ",negative
73,ВАЗ 2190 Лада Гранта седан,"Огромный минус-это руль. На парковках всё хорошо! Но на дорогах скорость повысишь автомобиль качает, рулевое колесо немного крутишь а реакция машины сильнее. Пробовал отпускать руль машина едет ровно до первой кочки, дальше держи его! Плюсы это подвеска, она на высшем уровне, кочки даже не заметны. Обороты держатся устойчиво. В багажнике полно места. Машинка в целом отличная только не сравнить с иномарками, с понедельника кстати подорожает на 30000 рублей как и все автомобили АвтоВаза. Общее впечатление : Хорошая машина",positive
74,Daewoo Matiz хэтчбек,"В 2007 г. купила такую машинку. Вроде, и не плохая, но все-таки подумываю о покупке другого авто. У меня 2 детей а потому стало нам в ней тесновато. Хотя когда надо привезти стройматериал какой-нибудь, то легко раскладываем задние сидения и увозим все, что надо. Это, безусловно, спасает, т. к. багажник очень уж маленький. Мало что вмещается в него. А вот парковаться в любом практически месте можно. Моя ""жужа"" хоть где сможет найти себе местечко. Самый большой минус автомобиля - это маленькие колеса. Все неровности на дороге ну очень сильно чувствуются. Эта машина для идеального дорожного покрытия. Шумоизоляция в салоне тоже оставляет желать лучшего, стекла часто запотевают, а вот в -30 С на улице она неплохо заводится. Хотя это еще и от аккумулятора зависит. ",negative
75,Mitsubishi Pajero IV внедорожник,"Хороший автомобиль. Высокий. Если сборка не российская, думаю будет отличным семейным автомобилем. Катался на тестдрайве изумительно Ну а расход конечно будет раз машинка большая Куда уж тут денешся ",negative
76,ВАЗ 2190 Лада Гранта седан,"Сегодня я купил машину лада гранта и ни как не могу ее продать начнем с покупки машина мне обошлась в четыреста восемдесят тысяч рублей на реканий на машину нет стоимость масла 850 рублей замена бампера 5000 рублей если собираетесь делать ремонт машины капитально, то стоимость обойдется в районе 200000 рублей мощьность у нее 100 лошадей макс скорость 185 км в час. Общее впечатление : замечательный автомобиль",negative
77,Mercedes Benz Vito 2.2 dti минивен,"Автомобиль Mercedes Benz Vito 2.2 dti минивен приобрели себе на фирму три года назад. Машина очень хорошая, правда дорогая в обслуживании. Металл кузова достаточно прочный и толстый. У нас Автомобиль Mercedes Benz Vito 2.2 dti минивен 2002 года выпуска и почти не гнилой. Салон просторный, правда зимой нагревается долго. С ходовкой проблем пока не было. С двигателем - тоже. правда компьютер со своей болячкой ""EDC"" помучал нас серьезно. Яст топлива эта машинка не много . У нас дизель - литров 7-8 по трассе- вполне приемлемо. В целом приемистая, экономная и удобная машина. Как говорит хозяин -Mercedes это вам не жигули. Общее впечатление : Отличный автомобиль",neutral
78,Renault Logan седан,"Очень понравился автомобиль рено логан седан потому что он хорошо оборудован есть кондиционер фронтальные подушки безопасности! Еще он очеь элегантный очень хорошо подойдет для деловых людей! Еще один плюс он производится в Румынии и в России. Пяти ступенчатая коробка передач немного ест бензин.80 лошадиных сил что для российских дорог вполне нормально и хорошо! Я кстати взял ее по цене и не пожалел ежу на ней уже 3 года и ничего особо страшного не случалось с ней только фильтр и масло менял и еще не давно сменил передние колодки, а так сне на природу хорошо ездить отдыхать! Советую купить рено логан седан и не пожалеете как не пожалел я! Общее впечатление : Отличный автомобиль!",positive
79,ВАЗ 2109,"Автомобиль ВАЗ 2109 это легенда прошлого. Моя ласточка 1997 года выпуска, но это не мешает ей ежегодно летом ездить мне на ней в отпуск более 5000 км. В ремонте никаких проблем, запчасти не дорогие, да и большинство работ можно сделать самостоятельно, было бы желание. По трассе идет отлично, устойчивость хорошая. Есть конечно минусы - это гул и дребезжание в салоне, а так же маловато по современным меркам комфорта. Но это же классика! Погромче магнитолу с любимой музыкой и приятного путешествия. И еще мне нравится смотреть на людей, которые смотрят с удивлением на машину и говорят ""Как??? ты на ней путешествуешь???"". От этого я еще больше испытываю за нее гордость. При хорошем уходе я думаю еще мой сын будет на ней учиться ездить. Общее впечатление : Автомобиль - легенда!",negative
80,Renault Duster кроссовер,"Renault Duster-машинка то что надо для наших убитых дорог. Автомобиль обладает энергоёмкой и достаточно мягкой подвеской. Нормальная регулировка сидений. Да и сами сидения очень удобные. Приятный дизайн, уютный и просторный салон. Отделка материалов хорошего качества. Просторный багажник, что очень удобно для дальних семейных поездок. Столько всего загрузить можно. В общем автомобильчик- чудный, комфортабельный С хорошей проходимостью, расход бензина не большой, 8л. на 100км. Удобен в управлении. И по цене приемлимо. Нашей семье очень нравится Рено дастер. Рекомендуем всем своим друзьям. Очень удобен в эксплуатации, а на трассе и скорость не ощущается. Общее впечатление : Автомобиль-что надо",positive
81,Hyundai Solaris седан,"В целом для своего класса машина очень хорошая. К производителю особо притензий нет, а к работе салона Hyundai, который находится на Шоссе Космонавтов-ОЧЕНЬ МНОГО. Отвратительное отношение к покупателю, некомпитентность менеджера во многих вопросах. Очень долго ждали автомобиль, а еще дольше его получали... ",negative
82,Renault Logan SR седан,"Сам езжу на логане 3 года. всё радует: скорость проходимость управление, дешёвая стоимость и техническое обслуживание. но и минусов хватает. Например, не нравится то, что при сырой погоде, когда на поликах скапливается влага, из за их недостаточного углубления, вода попадает в салон, а это как вы понимаете не очень хорошо. так же к минусам отнесу не очень хорошую печку( стёкла при влажной погоде запотевают) и её шум. Но согласитесь, за такие деньги лучше не купишь) поэтому рено логан является довольно приемлемым вариантом. ",negative
