,recall,sent
43317,"не соответствует полностью​ фото, короче кофтв",neautral
63298,"все соответсвует описанию. размер соответсует размерной сетке.  мягкие, притно к телу. дошли быстро, даже не ожидала.",positive
57117,"Платье заказывала на 11.11.по купону продавца.Получила 7.12. Красивое . По размерной сетке совпадает,не просвечивает.  Продавец очень вежливый,на вопросы отвечает.Просто супер.Желаю дальнейшего процветания продавцу и его магазину!Заказывала много платьев,ещё не получила.Надеюсь не разочаруюсь и в них.",positive
48181,"Платье тонкое, разрез сзади начинается ооочень высоко, хотя верхняя часть платья достаточно свободна.
Были проблемы с таможней, поэтому заказ шел очень долго.",neautral
62771,"Мягкая, очень приятная к телу, минус один лезет пух, но все плюсы перекрывают это.",positive
30027,малый размер,neautral
13375,полное Г...,negative
31137,"Куртка очень хорошая. На русский 42-44 подошёл ""М"". Сшита отлично,цвет красивый. Но вот доставка ООООЧЕНЬ долгая! ПОЧТИ ТРИ МЕСЯЦА до Новосибирска.",neautral
22982,заказывала 3хл на рост 170 и вес 85..куртка классс жаль что маловата помоему в размерах у вам напутано. доставка кошмар пока сама не забрала на пункте доставке так она и ездила бы неизвестно сколь вообще я не довольно,negative
31515,"Это не зимняя парка, да и мех линяет",neautral
4857,"Качество ужасное, швы кривые, нитки торчат. ",negative
33741,"качество трикотажа низкое,тонкая синтетика. дырочки, от шкурка,на капюшоне , не обработаны вообще никак..так что поползет все быстро. в общем одноразовая толстовка. доставка до Москвы 1.5 мес.",neautral
44109,"Кофта сама крутая, но в местах где подмышки, сшито плохо, ненужные складки короче. Может конечно это только мне не повезло и это брак",neautral
16170,о,negative
75780,на русский xxs весьма свободненько сел размер (ог 86 см),positive
71819,Классные шорты!!! Хлопок. Доставка быстрая) Рекомендую ,positive
1829,"пришёл заказ быстро, общее качество нормальное нитки кое где мелочи,  но есть одно НО пришла с браком быра на рукове толщиной с палец, если зашивать будет видно",negative
54996,"блузка классная, за такие деньги просто шикарно.села хорошо.товар пришел быстро.",positive
19016,"dint receive the dress, open dispute, waiting for money.",negative
72584,"Отличные шортики!) Качество хб, хорошее) Рекомендую",positive
63594,Маечка хорошая. Советую,positive
19834,"Ужасный костюм,на фото представлен совершенно другого качества и цвета.Ткань колется,футболка и штаны короткие.Очень недовольна товаром.",negative
30089,Лезет очень сильно,neautral
52993,"Свой заказ я так и не получила,  а потому ничего о товаре не сообщу.  С продавцом сначала велись дискуссии, и меня просили ждать еще, но я не согласилась, и мне были вынуждены, хоть и с неохотой, вернуть деньги.  Срасибо и на том.",neautral
33279,"товар не соответствует описанию, очень не качественный материал, пуговица через неделю оторвалась.",neautral
67189,супер штанишки очень классный товар заказывайте )))),positive
5362,товар не доставлен!!!!,negative
24178,"07.19.17 заказ был отправлен,но так и не получен.сегодня уже 13.10.17",negative
54172,заказ очень долго шёл,neautral
3496,товар не пришел. не был отправлен из Китая,negative
31534,"Некачественный материал, неприятный к телу. В описании указано что хлопок, но это синтетика. Размер совпадает, пошита хорошо, только за это три балла.",neautral
16621,"картинка с длинным рукавом,пришло с коротким рукавом,носить такое не буду,хотелось бы чтоб описание соответствовало действительности",negative
76024,Отличное качество приятный материал спасибо ,positive
53541,"Не соответствует размерной сетке продавца, с учетом погреб носит 1-3 см размер XL меньше на 10см. Я раньше уже покупать такие штаны, но у другого продавца, там все четко с размером и материал плотней . Открыла спор , продавец обещал вернуть деньги",neautral
45895,poor quality!!!,neautral
31182,Low-quality product.,neautral
75456,"Шорты хорошие, на мой 42-44 сели отлично, свободненько, не люблю в облипку. Ткань плотная. Пришли очень быстро, 10 дней.",positive
2351,"отвратительное, голая синтетика!!! XХl на 48 велико, надо хl. Расцветка отличается.",negative
43835,"маловат размер,не учла бюст,а в целом симпатичная,не тянется совсем",neautral
48644,"Товар качественный, соответствует описанию. После стирки трусики не сели, торчащих ниток не было. Продавец очень общительный, но на словах все и закончилось(( Очень долго обсуждали цвета, которые есть в наличии. Я заказала 5 разных расцветок, продавец пообещал их прислать и... прислал все черные! Это единственный минус.",neautral
36187,"Огромное, ткань ужасная ",neautral
45249,очень большой. мой размер русский 42 или S. я писала в комментариях к заказу что нужен 42 размер. очень жаль. цвет красивый. материал приятный.,neautral
58901,Доставка до МО месяц,positive
25057,"Соответствует описанию.Но четкий пучок,как на картинке не получается.",negative
82370,"с этим заказом всё хорошо! брака пока не обнаружено, если что, дополню отзыв, сходив в них на тренировку и опробовав их в деле. а пока - фото скажут больше",positive
53593,"Заказал для знакомой. Пришло хорошо упаковано.Пришло быстро, но размер по таблице не подошёл. Слишком большой размер Знакомая очень расстроилась. Открыл спор. Вернули деньги. Я думаю что продавец не виноват. Виновата таблица. Лучше измеряйте параметры своей фигуры, как продавец и рекомендует, тогда он подберёт одежду вашего размера. Всё.",neautral
1103,"Заказала я данный бюстгалтер. Ждала,ждала,так и не дождалась. Открыла спор,а его закрыли и деньги не вернули. В итоге,я осталась без денег и без товара. Не буду больше заказывать здесь.",negative
38078,"Немного великоват, хоть и мой размер((",neautral
64036,нормальные резиночки.,positive
2182,"Заказала  товар 5 мая.  Продавец постоянно продливал срок доставки, на все мои вопросы о товаре писал ждите товар в пути. Итог, прошло 4 месяца ни денег ни товара. Открыла спор,  уже месяц продавец переводит деньги.  Сколько заказывала на этом сайте, такого беспредела не встречала. Не рекомендую и не советую этого продавца. УЖАСНЫЙ ПРОДАВЕЦ.",negative
6805,качество не оч не рекомендую синтетика,negative
56522,"Футболки отличные. Качество хорошее. Ткань не слишком тонкая, в самый раз. Размер s на ог 90 см сел отлично. ",positive
31823,"это не куртка, не пальто, а толстовка",neautral
39831,Блузка оказалась узковата в районе груди,neautral
65812,"Очень красивый, все как на картинке. Пришло за 3 недели",positive
28035,"Блуза интересная. Ткань грубовата, пошив без видимых косяков. Но. Правильно здесь в отзывах говорят, что она пойдет худеньким девушкам. У меня 46 рос, вроде и не полная. Но не села.",neautral
67444,"Шапка хорошая,тёплая,но уж слишком большая",positive
47009,все пришло очень большое и цвет не такой как на фото :(,neautral
4802,"Мою посылку мне так и не прислали, продавец отправил Ее по другому адресу, я очень ждала эту  кофточку, на мои сообщения продавец не отвечает , деньги обещал вернуть, но я хочу кофточку, не советую этого продавца, заказывайте у других лучше, испортил мне настроение этот продавец безалаберный",negative
72770,Суперский) очень его люблю,positive
48786,"таблица продавца неверная. на талию 74, бедра 95 заказала 28 размер (серые). так они в талии большие, где молния все собирается в складки. ткань хорошо тянется. еще и отзывы начиталась что на похожие параметры брали 28 размер. надо было брать 27. советую продавцу поменять таблицу и не вводить в заблуждение людей!",neautral
50686,"Куртка очень тонкая, даже не на осень, а на холодный летний день. На размер 42-44 заказывала М. Куртка оказалась маловата в бёдрах. Только только застегнулась. Хотя вверху нормально. Внизу нужно было вшить что-то типа резиночки, чтобы тянулась. В описании кстати написано, что куртка зимняя. Красная цена такой куртке рублей 400. ",neautral
45962,"Куртка нормальная,за исключением торчащих местами ниток,и размерная сетка не соответствует действительности.Но я заказывала розовый,в итоге он пришёл с огромными ржавыми пятнами...Продавец никак не отреагировал на это.",neautral
73087,"Отличное качество, мама довольна ",positive
69359,"Носочки супер, очень нравятся. Но шли долго, пошли 2,5 месяца в МО((( поэтому 4",positive
33,"заказывала разного цвета, а пришли две одинаковые за это минус",negative
55958,Штаны классные по щиколотку. На 52 размер 3XL подошел нормально. Посадка высокая. Супер.,positive
10926,Товар пришёл. Пришел по размеру. Но очень много лишних ниток. Кривые швы. Сидит волнами. Также небольшой дефект виде дырочки. За такую цену в это и получите.,negative
74663,"кофточка супер! приятный красивй цвет. на параметры 92-68-96 размер М отлично сел! заказала 5 августа, 8 продавец отправил, 25 пришла. продавцу 10 звезд и процветания магазину!",positive
7030,"Топ не пришел (ждала 4 месяца). Открывала спор но продавец попросил его закрыть, согласилась на очередное продление защиты товара, но он так и не пришел. ",negative
58707,Качество супер,positive
19207,"вышитый рисунок весь распускается , везде торчат нитки.Задумка красивая , а качество просто ужасное. Я очень расстроена.",negative
61487,"Платьем очень довольна. Кружевноц верх отделан подкладкой, так что просвечивает только спина. Очень довольна, буду еще покупать",positive
39189,Джемпер ни хлопком ни кашемиром и не пахнет. Состав синтетика. Размер подошёл. Этих денег он не стоит.,neautral
69497,"Доставка в Якутию - месяц. Достойная, качественная блузка. Вышивка красивая. Единственное, в чем сама виновата, промахнулась с размером. Продавцу в очередной раз спасибо. Рекомендую!",positive
21280,"Сильно мало, Всегда заказываю приблизительно один размер, ориентируюсь по таблице размеров.",negative
25143,ждала до последнего дня защиты товар так и не пришел!Спасибо за то что хоть продавец деньги вернул,negative
7396,"Слово кашемир вообще не относится к этой кофте.Тоненькая и хлипенькая не ощуп,боюсь после стирки будет как сопля.Недовольна и точка.",negative
17213,Платье ужасное....Цвет ни как на картинке длинна очень короткая при моём росте 163 см. закрывает только пол попы. Не рекомендую заказывать такой УЖАС.,negative
18451,"Отстой, абсолютно не соответствует фото, носить не буду. Деньги выброшенные на ветер",negative
11651,Товар пришёл бракованный. Изнанка пришита на лицевую стороны. Открыла спор но деньги мне так и не вернули. Очень не честный  продавец  и али экспресс не разобрался даже. Плохо,negative
30628,"заказала 21.11, отправляли ооочень долго,  потом продавец написал, что допустил ошибку и будет отправлять повторно с моего согласия,  ушла посылка только 14.12!!!! это ППЦ,  получила 27.12. Теперь о рубашке: восторга нет однозначно,  единственный плюс это материал, остальное так себе, крой странный, похоже на мужскую рубашку, выточек  нет,  не приталенная,  из-за этого в районе талии сборит,  а в бедрах впритык,  носить можно, если рукава подвернуть и внизу на узел завязать,  так еще куда нишло,  как классический вариант не советовала бы,  только если фигура 90-90-90 :))) По размеру советовалась с продавцом между L и XL, в результате продавец посоветовал XL, а я заказала L  на ог 96, так как рост небольшой 154см, чтобы не была слишком длинная,  размер кстати подошел,  хорошо,  что не  согласилась на больший, но заказывать еще (как многие пишут в отзывах)  желания нет...",neautral
34492,"Юбка на параметры талия 80, бедра 100 см. так обтягивает, что животик выперает, я закзала 3XL по рекамендации продавца, и ремень с пряжкой отсутствует.",neautral
54183,Тонкие,neautral
3789,не пришел товар! где он?верните деньги!,negative
46875,не пришел,neautral
57121,"Очень быстрая доставка. на М взяла XL , рукава коротковаты, но в целом , мне нравится , материал приятный , ниток , запаха -нет.  спасибо.",positive
2573,заказала юбочку 18 прислали 16 продавец. не отвечал открыла спор. решение я должна. выслать юбку назад. и вот юбка мала не перешить и денег нет где справедливость и кто. виноват ?,negative
31417,размер не соответствует даже по таблице. Очень обидно.,neautral
24949,"Товар не получен, деньги вернули, но возврат был долгим, продавец тянул время, до тех пор пока не стала писать ему сообщения. После конца защиты он написал, что пардон, но ваша посылка потеряна, и товар сразу сняли с продажи. Продавца не рекомендую",negative
25611,"Материал синтетика, штаны сшиты криво, с одной стороны ниже с другой выше.",negative
7421,"отправленно платье было очень быстро но пришло бракованное. верх был кривой, ткань лишняя была захвачена швейной строчкой, верх платья пришлось полностью перешивать.нашивка на юбке сделана толстой похожей на шерсть ниткой. очень тяготит шифон на  который он пришит. фото добавлю попозже",negative
67607,классная блузка. хл на русский 48 очень хорошо.,positive
53333,"К сожалению толстовка маленькая. Мой размер в среднем Xs-s, а эта ещё меньше. Пришлось отдать сестре. Ткань очень плотная, сковывает движения и не тянется. Но цвет соответствующий.",neautral
34797,"Немного маловато, надо на размер больше. Одна пуговица ржавая.",neautral
803,"Лосины синтетика, жутко просвечивают.. ходить можно только дома ",negative
78999,"Куртка хорошая, теплая, размер соответствует. Доставка быстрая) Довольна)",positive
33933,На леггинсах дыра,neautral
66929,"Отличное качество, спасибо!",positive
44897,"упаковано прекрасно,свитер хороший,но не мой размер она на мне болтается как мешок.",neautral
57842,"Какой замечательный свитерок!На 46 размер сел прекрасно.Хорошо тянется, мягкий и просто красивый.Доставка быстрая",positive
66834,заказ до СПб пришел очень быстро! Качество товара просто замечательное! вместилась очень большая грудь),positive
1750,"Рукав один не подшит, синтетика гольная",negative
35045,"Товар хороший, соответствует описанию. Очень долгая доставка, товар не отслеживается",neautral
41221,Штаны на гнома сшиты. Доставка чуть меньше 3-х недель до Москвы.,neautral
34303,Взяла самый большой размер. На мой 48 маловат. Заказ шёл очень долго. Качество нормальное.,neautral
11586,"во первых шло очень долго,заказала в августе,пришло в октябре,во вторых ожидание и реальность не совпали,на картинке плотная ткань с большим капюшоном,а в реальности синтетика с маленьким верхом(((",negative
75947,"Жилеткой довольна, трек  отслеживался, пришла быстро, продавец положил в подарок резиночку, за что спасибо",positive
65258,Моя любимая футболка :Р,positive
18960,"Доставка была курьером,что меня удивило,после его звонка установили время доставки.Когда я примерила пижаму,поняла,что отсутствует деталь кружева,что меня очень расстроило.",negative
2839,"товар не соответствует тому что показано на фото есть рукав и брюки,а в присланном товаре даже не с того материала,что описано,по русски Г....",negative
67142,"Заказ пришёл относительно быстро, заказывал 13 ноября, получил 5 декабря службой доставки CDEK до квартиры, правда служба доставки немного испортила нервы своим отношением к своим обязанностям... Куртка хорошего качества, на наш 48 размер взяли их XXXL. Немного коротковата.",positive
2071,"Товар пришёл с браком, все швы видны и ниток вылезающих много",negative
64205,"Отличные леггинсы. Носятся хорошо, материал приятный. За такую цену супер, советую",positive
269,долго  шла  11 11 17 закази  сегодня  10 01 18,negative
80968,Хорошее платье соответствует размеру 163 рост чуть выше колена ,positive
67894,"велико на 40 р-р, на высоких платье, качество хорошее.",positive
21743,"до сих пор не дождалась,  но к новому году прислали открытку и узелковый оберег,  который рассыпался по ниточкам на 3 день",negative
12188,Ужасный продавец,negative
66745,"Заказала куртку 25 июля, а 9 августа она уже была в моем почтовом отделении Санкт Петербурга. Пришла куртка быстро. Упакована аккуратно. Цвет яркий, красивый. Рукава немного коротковаты. Одела ее на теплую  толстовку . Мой рост - 164, вес - 74. Руки у меня полные. Немного тесновата в груди( размер C ) . Есть чехол для куртки, но  очень маленький, можно немного побольше по размеру (чехол).  Если близко смотреть на куртку, то видно наполнитель кусками.  Но за такую цену пойдет.  Для нашего лета куртка хороша, очень тоненькая, невесомая. Несмотря на недостатки я осталась довольна покупкой.",positive
41061,очень короткие и плохо тянутся,neautral
75020,"Платье пришло быстро, трек отслеживался. Мне оказалось немного великовато, но это не критично. Заказом осталась довольна. Спасибо.",positive
30358,Сильно малы,neautral
70993,"Очень стильное , универсальное платье , размер M",positive
16179,Товар не отслеживается! Про описание товара незнаю.,negative
42665,Брала размер s,neautral
28831,"Долго я смотрела на это пальто. Качество так себе. Если вас не парит ширпотреб, то смело берите!
На Об 110, Ог 95, От 75 взяла размер XXL, надо было брать XL. 
Рост 168, пальто чуть прикрывает колено.
Цвет темно-синий с фиолетовым оттенком.",neautral
73066,"Продавец почему то не положил пояс от платья, обидно:( ткань приятная без запаха. легкое на лето",positive
27575,"Первая вещь в этом магазине, которой я не довольна. Очень высокая талия, прямо под грудью заканчивается, если немного спустить, сдавливает попу и матня болтается и тянет штанины, что при ходьбе раздражает.",neautral
48442,майка не очень качественная.пошито тяп-ляп.везде нитки и кривые швы.носить не буду.. доставка быстрая,neautral
28342,"Заказ не дождалась , более 3 месяцев продлевали зашиту . Деньги вернули по спору поэтому 3 звезды ",neautral
48631,Материал точно не такой как на фото... и цвет другой ,neautral
38130,На мой размер S мало. Как то очень высоко сделали лиф.Лямки коротковаты.,neautral
59396,Л на ОГ 89 см сел отлично. На рост 170 длинна отличная.  Очень понравилась!,positive
17693,"Товар не пришёл, деньги не вернули. Не советую",negative
62466,очень КЛАССНАЯ я довольно,positive
38736,короткие рукава немного,neautral
28533,"Цвет очень блеклый. В целом на ""троечку""",neautral
47920,"В целом вещи приятная, немного торчат нитки и сыпется сама  ткань. на размер L взяла XL и все равно немного маловат.",neautral
59252,"Белье как всегда на высоте, заказывала второй раз, качество супер, размерная сетка соответствует Доставка очень быстрая Спасибо продавцу",positive
80368,"в общем-то куртка по размеру в плечах, шикарный, глубокий капюшон и карманы, но, рукава короткие! для кого, блин?",positive
40879,"доставка месяц. из положительного только красивый дизайн. качество плохое, швы неровные, некоторые распустились после первой тренировки. ткань слишком плотная. на размер 48 заказала L, свободно и слишком длинный. после двух стирок розовый цвет стал тусклый. в общем, мне не понравился.",neautral
1492,Маломерит ужасно!Заказала M и L  на свой М.Пришел заказ...но он даже не XS!Он на М идёт наверное Xxs)),negative
54164,"Если бы заранее было так много отзывов где говорится, что кофта короткая, я бы не купила(((!!! Материал- синтетика,  к телу не приятно, тело будет потеть явно!(((",neautral
62003,доставка очень быстрая 10 дней до Новороссийска.  с продавцом не общалась. кофты очень тонкие!!! но качество супер,positive
5199,"Заказ пришел быстро... На этом положительные моменты кончились. Внешний вид и качество изделия совершенно не такие как на фото. Ткань тоже ""в рубчик"", но совершенно другая - толстая и плотная (похожа если честно на обивку дивана). Рукава при опускании рук образуют складку подмышкой. Швы обработаны очень грубо и стоят - и если на рукавах это еще мало заметно, то на нижнем крае изделия очень сильно бросается в глаза, а на вороте еще и сдавливает горло и вызывает дискомфорт.",negative
48476,"На 46 мала, даже близко не влезла в нее ",neautral
65399,"Мягкий,тонкий,классный. Как основа гардероба-идеально! Маркировка на китайском.Я очень довольна.Мой рост-167,ОГ-90 заказала L,можно смело брать размер по меньше (но это мой косяк)Рекомендую.С продавцом не общалась.Товар пришёл быстро.",positive
6764,Утром пошла в ней на работу и на улице уже увидела ТАКИЕ ужасные пятна...... Они как масляные и не отстирываются. ((( деньги на ветер,negative
50790,Короткие рукава,neautral
24443,"Видимо, посылка в пути потерялась. Открыла спор, возврат средств одобрен. Жду.",negative
76162,класс,positive
69173,Отличное качество!,positive
46606,их только дома носить верх до груди натянуть можно и свободный а на ногах коротко,neautral
10778,"продавец обманул. сначала заказала размер L на русский 44, оказался мал в бедрах, оставила. повторно заказала размер XL, пришел точно такой же, хотя написано хl. они абсолютно одинаковые. (на коричневом успела отпороть бирку с размером L). очень расстроилась. продавец на контакт не вышел, деньги не вернул((((",negative
32599,"куртка пришла за три недели, качество хорошее, по размеру тоже подошла отлично, а цвет не такой как на картинке, не темно синий, а с фиолетовым оттенком(",neautral
29127,Плохое качество. Швы на вырезе не ровные.,neautral
30457,Товар пришёл с зелёными пятнами!,neautral
31083,"синтетика, а так хорошая на вид",neautral
9996,Ужасное качество. Просто тряпка,negative
56837,"Доставка до Мск 3 недели. Отправлял заказ продавец около недели. Само пальто неплохое. Нитки не торчат, запаха нет. ",positive
36507,"Товар не пришел, деньги вернули.",neautral
83058,"Отличные брючки на лето-заказала все цвета-белый, черный, голубой и розовый.Идеально сидят-даже подшивать не пришлось-теперь на долго=хватит и цена приемлеемая. Спасибо продавцу за товар.Положили приятный подарочек.Брала 2 хл",positive
46934,"короткие, а в поясе большеваты, сползают и скатываются, материал не очень",neautral
10198,"Материал не очень, пришла L, но рукава широкие , платье ни о чем ",negative
25054,очень красивый.но от снега остаются огромные разводы. разочарована,negative
10564,товар не пришел...деньги вернули,negative
52607,"Ткань ужасная ,даже за эту цену ,просвечивает и плюс сшито криво. ",neautral
28794,"ВСЁ ОООЧЕНЬ КЛАССНО!!! До Москвы шёл с ""Время заказа: 09:14 Sep. 07 2017"" по ""Заказ завершён: 2017.10.09 09:48"" так что достаточно быстро) Качество идеальное!!! Они мягенькие, тёплые, на ощупь очень приятные,картинка не напечатана, а вышита и очень качественно! Однозначно закажу ещё!!  Размер ноги 37, носочки крик большие на размера два... печально( надеюсь после стирки сядут немного...",neautral
62696,"469,65 руб. x 1 piece
Китай-Петрозаводск-25 дней. Трек номер отслеживался. 
На наш 46 размер заказала Л.
Всё подошло.",positive
69982,норм,positive
26783,Товар не пришел,negative
10914,Всё ужасно. Товар так и не пришёл. Продавец отвратительный!!!,negative
25048,"Ставлю двойку т к товар пришёл бракованный очень жаль , очень ждала эту юбку ",negative
40024,"по факту туника оказалась намного короче, чем на картинке. я получила совершенно не то, что хотела",neautral
24786,"очень тонкое, просвечивает. много торчащих   ниток",negative
24588,"Пришла куртка другого цвета, на бёдра 100,  размер L мал, надо точно на 2 размера больше. Плечи спущены совсем немного. Хотелось более оверсайз, в споре вернули полную стоимость.,",negative
51164,"Качество ткани о пошив не очень,большие проймы у рукава,сами рукава короткие",neautral
24280,"Фасон не соответствует картинке, резинка расположена в районе талии, а не на бёдрах. Материал- галимая дешевая синтетика, не дышит да и ОЧЕНЬ подчеркивает недостатки фигуры. Выброшу, даже не сомневаясь. Засорять таким хламом свой гардероб вообще не хочется. Не видитесь на картинку, она не соответствует реальности. К сожалению, когда я брала отзывов с фото не было. Не советую вообще!!!! Перелистывайте эту модель, не задумываясь!!!!",negative
42107,КОСТЮМ МАЛ.,neautral
71530,Быстрая доставка. общительный продавец,positive
45716,очень долго,neautral
55712,отлично,positive
12505,"штаны так и не пришли в Новосибирск . заказывала в начале апреля.  2 раза продляла срок доставки.  в последний раз продавец сказал что продлит если отменю спор, но так и не продлил. уже вторую неделю пытаюсь вернуть деньги. продавец тянет время и пишет что может вернуть только на платежную систему PayPal. на мои возвращения что у меня ее нет и как то по другому вернуть деньги ничего не предлагает. в общем я очень недовольна этим продавцом. почти 4 месяца ожидания товара, а по итогу даже не возвращают деньги.",negative
69170,"долгая доставка,а так все нормально",positive
59255,"девушки,которые пишут ,что рукав длинный,вы не дооцениваете длину своих рук!xl-длина рукава 60 см!На 48размер в обтяжку.",positive
36494,"Кофта очень короткая.Еле-еле прикрывает юбку.Руки не поднять. Жемчужины вроде крепко пришиты.да и огромный минус продавцу! Когда я заказывала,было обозначено,как платье!через некоторое время исправили на комплект юбка+кофта и фото в описании поменяли.не честно!я бы ни за что не заказала бы как комплект.больше ничего не куплю у этого продавца!жалею,что не сделала принскрин и не могу теперь вернуть деньги.",neautral
60330,"Майка класс! Только заказал размер М, а пришел XL , но продавец сразу вернул полную сумму денег",positive
36622,"Плохо рассмотрела фотографии, поэтому крапинки на ткани были неприятной неожиданностью. Лучше бы что бы не было этих пререливающихся  точек. Размер подошел очень хорошо и длина тоже. По боковому шву расположены лампасы из эластичной ткани. Они способствуют хорошей посадке штанов. Снижаю оценку только из-за качества ткани.",neautral
37880,"ткань очень приятная, но оказалось мало, брала М на 44 размер",neautral
18378,"заказывала объём груди 102, пришёл 80 (вобщем размер не подошёл)",negative
59157,"Хорошая кофточка,села хорошо.Пришла за 3 недели,трек отслеживался.Доче понравилась.",positive
3755,"Заказ мне не пришёл! Продавец не ответил. Спор почему-то закрыли, деньги не вернули. Продавца крайне не рекомендую! Отвратительность отношение к клиентам. ",negative
68131,"Спасибо продавцу. Кофточка приятная к телу, очень понравилась.",positive
38144,"Заказывала размер L , а продавец отправил S, малы ужасно, теперь будут валяться. Очень жаль.",neautral
39753,Товар пришёл быстро. Но не по размеру. Заказывать нужно как минимум на один размер больше. Качество понравилось.,neautral
21792,"платья не подошли, хотя у продавца консультировалась по поводу размера. торчат нитки. и запах не приятный. на 56 размер продавец посоветовал взять 6xl. разочарована, деньги на ветер!!!",negative
26501,не удобно,negative
60065,"Заказ пришел за месяц.  Брала дочке э на рос 40-42 размер М идеально.  Она довольна покупкой, ткань приятная, теплая",positive
61219,"Смотрятся как на фото, приятная ткань, легкие, на лето как раз то что нужно. Спасибо продавцу",positive
77951,L на 46 р-р. Но рукава впритык. Можно подлиннее.,positive
62597,Маломерит! Не подошла.,positive
19293,"написала продавцу параметры, выслал размер, который не подошел, открыла спор на возврат товара и денег. продавец ну оч сложно соглашается. в итоге спор закрылся и у меня на руках гигантский халат, который раз мне не нужен.",negative
